implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA),2025Q3,3.273573461171342,0.48935764659528946,0.7292995202100241,6,90,77,96320098.0,73750000.0,PALGHAR(DISTRICT COLLECTOR PALGHAR_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.49); 31% round-number amounts -> 100% round-number amounts; 6% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MORENA(DISTRICT COLLECTOR MORENA_IDA),2024Q4,3.0980598767906837,0.6466351925853404,0.7224284752040954,6,158,24,82590002.0,29196000.0,MORENA(DISTRICT COLLECTOR MORENA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.65); 53 works/quarter -> 8 works/quarter; 29% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PALI(DISTRICT COLLECTOR PALI_IDA),2025Q1,3.588679463876068,0.3867945113474145,0.7177996712068722,7,126,83,65159148.0,70412092.0,PALI(DISTRICT COLLECTOR PALI_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.39); 63 works/quarter -> 17 works/quarter; 12% round-number amounts -> 83% round-number amounts; 0% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIVASAGAR(Deputy Commissioner Sivsagar_IDA),2024Q4,3.480209731524797,0.40709917709953636,0.7164900417386932,8,63,260,34359042.09,83646628.0,SIVASAGAR(Deputy Commissioner Sivsagar_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.41); 32 works/quarter -> 43 works/quarter; 78% round-number amounts -> 98% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAISEN(DISTRICT COLLECTOR RAISEN_IDA),2025Q1,3.3929277534968274,0.4240678917731153,0.7157351365653958,9,223,82,54269184.0,33870000.0,RAISEN(DISTRICT COLLECTOR RAISEN_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.42); 56 works/quarter -> 16 works/quarter; 68% round-number amounts -> 100% round-number amounts; 9% repeated descriptions -> 13% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AMRELI(DISTRICT COLLECTOR AMRELI_IDA),2024Q4,4.130414148330743,0.3516926867662252,0.7146065127832554,8,189,288,48876724.0,128500148.0,AMRELI(DISTRICT COLLECTOR AMRELI_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.35); 94 works/quarter -> 48 works/quarter; 50% round-number amounts -> 87% round-number amounts; 22% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),2024Q4,4.2434473345991455,0.34968896602608646,0.7093474664260104,8,168,105,90937176.0,73014729.0,Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.35); 84 works/quarter -> 18 works/quarter; 12% round-number amounts -> 86% round-number amounts; 9% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),2024Q3,3.1132752463404514,0.5765902120673678,0.7089294148069831,8,153,95,77963892.0,51717266.0,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.58); 51 works/quarter -> 19 works/quarter; 57% round-number amounts -> 70% round-number amounts; 39% repeated descriptions -> 10% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOTA(DISTRICT COLLECTOR KOTA_IDA),2024Q3,3.2814538473898915,0.4479942563169307,0.7007648882267351,7,190,28,88795335.50999999,28897493.0,KOTA(DISTRICT COLLECTOR KOTA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.45); 63 works/quarter -> 7 works/quarter; 25% round-number amounts -> 64% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),2025Q2,3.3098104586281947,0.4294689628601394,0.6997331739087174,6,329,26,53390000.0,10064075.0,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.43); 110 works/quarter -> 9 works/quarter; 45% round-number amounts -> 86% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA),2025Q2,3.9959385816348307,0.34923789753966117,0.6972865593989084,8,588,60,205781503.57,139733147.0,BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.35); 147 works/quarter -> 15 works/quarter; median Rs.10^5.22 -> median Rs.10^6.13; 3% round-number amounts -> 2% round-number amounts; 38% repeated descriptions -> 9% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),2024Q4,3.0168370511140847,0.7212820880297238,0.6970578658672082,6,134,67,58965338.0,72618400.0,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.72); 67 works/quarter -> 17 works/quarter; 57% round-number amounts -> 80% round-number amounts; 0% repeated descriptions -> 18% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA),2024Q4,2.9729550787129893,0.953132554518193,0.6968255221750935,6,144,37,57167048.0,20482887.0,MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.95); 48 works/quarter -> 12 works/quarter; 9% round-number amounts -> 33% round-number amounts; 0% repeated descriptions -> 93% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
TENKASI(DISTRICT COLLECTOR TENKASI_IDA),2024Q3,3.182960750554697,0.4837404946516396,0.6945265062766995,8,168,111,102293901.0,130432138.0,TENKASI(DISTRICT COLLECTOR TENKASI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.48); 84 works/quarter -> 18 works/quarter; 16% round-number amounts -> 14% round-number amounts; 3% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),2025Q2,3.1506976709992123,0.5029296412515001,0.6939774861445508,9,816,151,232060166.0,86573171.0,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.50); 163 works/quarter -> 38 works/quarter; 17% round-number amounts -> 57% round-number amounts; 1% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),2024Q4,3.232640334386002,0.4598788797731559,0.6918490687487925,8,84,159,47117467.0,92330000.0,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.46); 42 works/quarter -> 26 works/quarter; 49% round-number amounts -> 95% round-number amounts; 33% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),2024Q4,3.4099513348207093,0.4031851536330211,0.6917662447016865,10,402,209,116525913.0,103291788.0,RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.40); 100 works/quarter -> 35 works/quarter; 29% round-number amounts -> 61% round-number amounts; 91% repeated descriptions -> 45% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Balodabazar-Bhatapara(Collector Baloda Bazar_IDA),2025Q2,3.440919332935519,0.39419555187591904,0.6907824008000653,9,71,38,41913841.0,33797345.0,Balodabazar-Bhatapara(Collector Baloda Bazar_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.39); 14 works/quarter -> 10 works/quarter; 50% round-number amounts -> 92% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA),2024Q4,3.2693548451068337,0.43176871488234214,0.6874094038174287,6,131,53,39335738.0,54599762.0,KHAGARIA(DISTRICT PLANNING OFFICER KHAGARIA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.43); 44 works/quarter -> 18 works/quarter; 0% round-number amounts -> 2% round-number amounts; 30% repeated descriptions -> 39% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),2025Q1,3.427958020937438,0.3958295749516181,0.687260800224711,8,225,295,113046870.22,92943694.0,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.40); 75 works/quarter -> 59 works/quarter; 33% round-number amounts -> 70% round-number amounts; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),2024Q4,3.410303274925023,0.3978705765481085,0.6866878319669197,8,197,119,132335085.0,97917785.0,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.40); 49 works/quarter -> 30 works/quarter; 21% round-number amounts -> 81% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BARMER(DISTRICT COLLECTOR BARMER_IDA),2025Q2,3.232687706402775,0.4484308328399932,0.6856204014040339,8,124,82,101098564.0,62634756.0,BARMER(DISTRICT COLLECTOR BARMER_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.45); 31 works/quarter -> 20 works/quarter; 72% round-number amounts -> 93% round-number amounts; 0% repeated descriptions -> 48% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),2024Q4,3.265232751618781,0.42750691310485756,0.68074502090147,7,137,113,146241231.0,179487023.0,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.43); 46 works/quarter -> 28 works/quarter; 3% round-number amounts -> 35% round-number amounts; 0% repeated descriptions -> 16% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),2024Q1,3.4991835237222273,0.3765369818224926,0.6798954716422914,10,516,426,76450000.0,213157500.0,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.38); 258 works/quarter -> 53 works/quarter; 84% round-number amounts -> 97% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),2025Q1,3.7120349288214824,0.3512360500090548,0.6757165036961484,8,83,78,42242120.0,44728000.0,SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.35); 28 works/quarter -> 16 works/quarter; 34% round-number amounts -> 59% round-number amounts; 7% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA),2025Q1,3.1020245320869675,0.4862122922769135,0.6701337486438276,8,57,275,22645778.0,130622640.0,PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.49); 19 works/quarter -> 55 works/quarter; 19% round-number amounts -> 63% round-number amounts; 0% repeated descriptions -> 51% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SATARA(DISTRICT COLLECTOR SATARA_IDA),2023Q2,3.753485382657482,0.345463415186667,0.668324595289121,10,52,487,12056000.0,311593793.0,SATARA(DISTRICT COLLECTOR SATARA_IDA): behaviour shifts at 2023Q2 (archetype-mix JS 0.35); 17 works/quarter -> 70 works/quarter; 31% round-number amounts -> 72% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),2025Q2,3.1512923514841065,0.45558021194455156,0.6654930943845093,7,379,21,148545861.89,95346887.0,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.46); 95 works/quarter -> 7 works/quarter; median Rs.10^5.52 -> median Rs.10^6.60; 2% round-number amounts -> 0% round-number amounts; 27% repeated descriptions -> 44% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA),2025Q4,3.3838202675320264,0.3836985351411951,0.6650699515821241,6,349,59,221658378.0,219400000.0,KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.38); 87 works/quarter -> 30 works/quarter; 46% round-number amounts -> 100% round-number amounts; 25% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),2025Q2,2.987647110750783,0.6086325722466815,0.6636637833624334,9,1459,49,253797468.01999998,179787502.0,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.61); 292 works/quarter -> 12 works/quarter; median Rs.10^5.15 -> median Rs.10^6.39; 17% round-number amounts -> 9% round-number amounts; 3% repeated descriptions -> 10% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SURYAPET(DISTRICT COLLECTOR SURYAPET),2025Q1,3.093113093132994,0.4827178081683393,0.662066515623388,7,313,27,113994472.0,11985905.0,SURYAPET(DISTRICT COLLECTOR SURYAPET): behaviour shifts at 2025Q1 (archetype-mix JS 0.48); 78 works/quarter -> 9 works/quarter; 38% round-number amounts -> 79% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIDHI(DISTRICT COLLECTOR SIDHI_IDA),2025Q1,3.080799850252991,0.49689469130543,0.6613775628279545,8,129,119,32657995.0,70738976.0,SIDHI(DISTRICT COLLECTOR SIDHI_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.50); 43 works/quarter -> 24 works/quarter; 8% round-number amounts -> 47% round-number amounts; 1% repeated descriptions -> 26% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA),2025Q4,2.9994996855506244,0.5714041890135311,0.6575697371257846,6,47,27,119735770.0,40800000.0,Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.57); 48% round-number amounts -> 100% round-number amounts; 0% repeated descriptions -> 22% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JALGAON(DISTRICT COLLECTOR JALGAON_IDA),2024Q4,3.182688097238769,0.42986682511388674,0.6563335102355838,7,243,13,160678571.0,20171109.0,JALGAON(DISTRICT COLLECTOR JALGAON_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.43); 49 works/quarter -> 6 works/quarter; 10% round-number amounts -> 52% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),2024Q3,3.0971215076304452,0.4689896926893975,0.655931044938632,8,135,229,18867331.0,54263307.0,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.47); 68 works/quarter -> 38 works/quarter; 8% round-number amounts -> 47% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA),2025Q3,3.2095662440909396,0.42162493618922703,0.6549732478179111,9,280,31,210006923.0,42901736.0,SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.42); 40 works/quarter -> 16 works/quarter; 44% round-number amounts -> 82% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA),2025Q4,3.3022099006238106,0.38830155623582907,0.650097955482048,8,292,13,120701507.0,12234570.0,VIZIANAGARAM(DISTRICT COLLECTOR VIZIANAGARAM_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.39); 49 works/quarter -> 6 works/quarter; 23% round-number amounts -> 65% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),2025Q1,3.2933201606658744,0.39072260599534053,0.649357941821876,9,138,56,26752728.0,16502657.0,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.39); 34 works/quarter -> 11 works/quarter; 72% round-number amounts -> 58% round-number amounts; 56% repeated descriptions -> 12% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),2024Q1,3.2093759518195437,0.4140913905735464,0.6472598492877493,6,34,41,27209187.0,48328030.0,BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.41); 17 works/quarter -> 10 works/quarter; 8% round-number amounts -> 5% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),2025Q4,3.1317743531143405,0.4336703575674722,0.6449116166604315,9,317,15,161954759.0,9941282.0,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.43); 45 works/quarter -> 8 works/quarter; 36% round-number amounts -> 85% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
